iter	Passed	Remaining
318	1102	2353
319	1105	2349
320	1108	2344
321	1111	2340
322	1114	2335
323	1117	2330
324	1120	2326
325	1122	2321
326	1125	2316
327	1128	2312
328	1131	2307
329	1134	2303
330	1137	2298
331	1140	2294
332	1143	2289
333	1146	2285
334	1149	2281
335	1152	2276
336	1155	2272
337	1157	2267
338	1160	2262
339	1163	2258
340	1166	2253
341	1169	2249
342	1171	2244
343	1174	2240
344	1177	2235
345	1180	2230
346	1182	2226
347	1185	2221
348	1188	2216
349	1191	2212
350	1194	2208
351	1197	2203
352	1200	2199
353	1202	2195
354	1205	2190
355	1208	2186
356	1211	2182
357	1214	2177
358	1217	2173
359	1220	2169
360	1222	2164
361	1226	2160
362	1228	2156
363	1231	2152
364	1234	2147
365	1237	2143
366	1240	2139
367	1243	2135
368	1245	2130
369	1248	2126
370	1251	2121
371	1254	2117
372	1257	2113
373	1260	2109
374	1262	2104
375	1266	2101
376	1268	2096
377	1271	2092
378	1274	2087
379	1277	2083
380	1279	2079
381	1282	2075
382	1285	2070
383	1288	2066
384	1291	2062
385	1293	2058
386	1296	2054
387	1299	2049
388	1302	2046
389	1303	2039
390	1306	2035
391	1309	2031
392	1312	2027
393	1315	2023
394	1318	2019
395	1321	2015
396	1324	2011
397	1327	2007
398	1329	2003
399	1332	1999
400	1335	1994
401	1338	1990
402	1341	1986
403	1343	1982
404	1346	1978
405	1348	1972
406	1351	1968
407	1354	1964
408	1356	1960
409	1359	1956
410	1362	1952
411	1365	1948
412	1368	1944
413	1371	1941
414	1374	1936
415	1377	1933
416	1380	1929
417	1382	1925
418	1385	1921
419	1388	1917
420	1391	1913
421	1394	1910
422	1397	1906
423	1400	1902
424	1403	1898
425	1406	1894
426	1408	1890
427	1411	1886
428	1414	1883
429	1417	1879
430	1420	1875
431	1423	1871
432	1426	1868
433	1429	1864
434	1432	1860
435	1435	1856
436	1438	1852
437	1441	1849
438	1444	1845
439	1447	1841
440	1449	1837
441	1452	1833
442	1455	1830
443	1458	1826
444	1461	1822
445	1464	1819
446	1467	1815
447	1470	1811
448	1473	1807
449	1475	1803
450	1478	1800
451	1481	1796
452	1484	1792
453	1487	1788
454	1490	1784
455	1493	1781
456	1496	1777
457	1499	1773
458	1501	1770
459	1504	1766
460	1507	1762
461	1510	1759
462	1513	1755
463	1516	1751
464	1519	1748
465	1522	1744
466	1525	1740
467	1528	1736
468	1530	1733
469	1533	1729
470	1536	1725
471	1539	1722
472	1542	1718
473	1545	1714
474	1547	1710
475	1550	1707
476	1553	1703
477	1556	1699
478	1559	1695
479	1561	1692
480	1564	1688
481	1567	1684
482	1570	1680
483	1573	1677
484	1575	1673
485	1578	1669
486	1581	1666
487	1584	1662
488	1587	1658
489	1590	1655
490	1593	1651
491	1596	1648
492	1599	1644
493	1602	1641
494	1605	1637
495	1607	1633
496	1610	1630
497	1613	1626
498	1616	1622
499	1619	1619
500	1622	1615
501	1624	1612
502	1627	1608
503	1630	1604
504	1633	1601
505	1636	1597
506	1639	1594
507	1642	1590
508	1645	1587
509	1648	1583
510	1650	1579
511	1654	1576
512	1657	1573
513	1659	1569
514	1662	1565
515	1665	1562
516	1668	1558
517	1671	1554
518	1674	1551
519	1677	1548
520	1679	1544
521	1682	1540
522	1685	1537
523	1688	1534
524	1691	1530
525	1694	1527
526	1697	1523
527	1700	1520
528	1703	1516
529	1706	1513
530	1709	1509
531	1712	1506
532	1714	1502
533	1718	1499
534	1721	1496
535	1724	1492
536	1727	1489
537	1729	1485
538	1732	1482
539	1735	1478
540	1738	1475
541	1741	1471
542	1744	1468
543	1747	1464
544	1750	1461
545	1752	1457
546	1755	1453
547	1758	1450
548	1761	1446
549	1764	1443
550	1767	1439
551	1769	1436
552	1772	1432
553	1775	1429
554	1778	1426
555	1781	1422
556	1784	1419
557	1787	1415
558	1790	1412
559	1793	1408
560	1796	1405
561	1798	1401
562	1801	1398
563	1804	1394
564	1807	1391
565	1811	1388
566	1814	1385
567	1817	1382
568	1820	1378
569	1823	1375
570	1826	1372
571	1829	1368
572	1832	1365
573	1835	1362
574	1838	1358
575	1841	1355
576	1843	1351
577	1846	1348
578	1849	1344
579	1852	1341
580	1855	1338
581	1858	1334
582	1861	1331
583	1864	1328
584	1867	1324
585	1870	1321
586	1872	1317
587	1875	1314
588	1878	1311
589	1881	1307
590	1884	1304
591	1887	1300
592	1890	1297
593	1893	1293
594	1895	1290
595	1898	1287
596	1901	1283
597	1904	1280
598	1907	1276
599	1910	1273
600	1913	1270
601	1915	1266
602	1918	1263
603	1921	1259
604	1924	1256
605	1927	1253
606	1930	1249
607	1933	1246
608	1936	1243
609	1938	1239
610	1941	1236
611	1944	1232
612	1947	1229
613	1950	1225
614	1952	1222
615	1955	1219
616	1958	1215
617	1961	1212
618	1964	1209
619	1967	1205
620	1969	1202
621	1972	1198
622	1975	1195
623	1978	1191
624	1981	1188
625	1984	1185
626	1987	1182
627	1989	1178
628	1992	1175
629	1995	1172
630	1998	1168
631	2001	1165
632	2004	1161
633	2007	1158
634	2009	1155
635	2012	1151
636	2015	1148
637	2018	1145
638	2021	1141
639	2023	1138
640	2026	1135
641	2029	1131
642	2032	1128
643	2035	1125
644	2038	1121
645	2041	1118
646	2043	1115
647	2046	1111
648	2049	1108
649	2052	1104
650	2054	1101
651	2057	1098
652	2060	1094
653	2063	1091
654	2066	1088
655	2069	1085
656	2071	1081
657	2074	1078
658	2077	1075
659	2080	1071
660	2083	1068
661	2086	1065
662	2089	1061
663	2091	1058
664	2094	1055
665	2097	1051
666	2100	1048
667	2103	1045
668	2106	1042
669	2109	1038
670	2112	1035
671	2115	1032
672	2117	1029
673	2120	1025
674	2123	1022
675	2126	1019
676	2128	1015
677	2131	1012
678	2134	1008
679	2137	1005
680	2140	1002
681	2142	999
682	2145	995
683	2148	992
684	2151	989
685	2154	986
686	2157	982
687	2160	979
688	2162	976
689	2165	973
690	2168	969
691	2171	966
692	2173	963
693	2176	959
694	2179	956
695	2182	953
696	2185	949
697	2188	946
698	2191	943
699	2193	940
700	2196	936
701	2199	933
702	2202	930
703	2205	927
704	2208	923
705	2211	920
706	2213	917
707	2216	914
708	2219	911
709	2222	907
710	2225	904
711	2228	901
712	2230	897
713	2233	894
714	2236	891
715	2239	888
716	2242	884
717	2244	881
718	2247	878
719	2250	875
720	2253	872
721	2256	868
722	2259	865
723	2261	862
724	2264	859
725	2267	855
726	2271	852
727	2274	849
728	2278	846
729	2281	843
730	2283	840
731	2286	837
732	2289	833
733	2292	830
734	2295	827
735	2297	824
736	2300	821
737	2303	817
738	2306	814
739	2309	811
740	2311	808
741	2314	804
742	2317	801
743	2320	798
744	2323	795
745	2326	792
746	2329	788
747	2332	785
748	2334	782
749	2337	779
750	2340	776
751	2343	772
752	2346	769
753	2348	766
754	2351	763
755	2354	759
756	2357	756
757	2360	753
758	2362	750
759	2365	747
760	2368	743
761	2371	740
762	2374	737
763	2377	734
764	2380	731
765	2382	727
766	2385	724
767	2389	721
768	2391	718
769	2394	715
770	2397	712
771	2400	708
772	2402	705
773	2405	702
774	2408	699
775	2411	696
776	2414	692
777	2417	689
778	2419	686
779	2422	683
780	2425	680
781	2428	676
782	2431	673
783	2433	670
784	2436	667
785	2439	664
786	2442	661
787	2445	657
788	2448	654
789	2450	651
790	2453	648
791	2456	645
792	2459	641
793	2462	638
794	2465	635
795	2467	632
796	2470	629
797	2473	626
798	2476	622
799	2478	619
800	2481	616
801	2484	613
802	2487	610
803	2490	607
804	2493	603
805	2496	600
806	2499	597
807	2502	594
808	2505	591
809	2508	588
810	2510	585
811	2513	581
812	2516	578
813	2519	575
814	2521	572
815	2524	569
816	2527	566
817	2530	562
818	2532	559
819	2535	556
820	2538	553
821	2541	550
822	2544	547
823	2547	544
824	2550	540
825	2553	537
826	2556	534
827	2558	531
828	2561	528
829	2564	525
830	2567	522
831	2569	518
832	2572	515
833	2575	512
834	2578	509
835	2580	506
836	2584	503
837	2586	500
838	2589	496
839	2592	493
840	2595	490
841	2598	487
842	2601	484
843	2603	481
844	2606	478
845	2609	474
846	2612	471
847	2615	468
848	2618	465
849	2621	462
850	2624	459
851	2626	456
852	2629	453
853	2632	450
854	2635	447
855	2638	443
856	2641	440
857	2644	437
858	2647	434
859	2650	431
860	2653	428
861	2655	425
862	2658	422
863	2661	418
864	2664	415
865	2667	412
866	2670	409
867	2673	406
868	2676	403
869	2679	400
870	2682	397
871	2685	394
872	2688	391
873	2691	387
874	2693	384
875	2696	381
876	2699	378
877	2702	375
878	2705	372
879	2708	369
880	2710	366
881	2713	363
882	2716	359
883	2719	356
884	2722	353
885	2725	350
886	2728	347
887	2731	344
888	2734	341
889	2736	338
890	2739	335
891	2742	332
892	2745	328
893	2747	325
894	2750	322
895	2753	319
896	2756	316
897	2759	313
898	2762	310
899	2765	307
900	2767	304
901	2770	301
902	2773	297
903	2776	294
904	2779	291
905	2781	288
906	2784	285
907	2787	282
908	2790	279
909	2793	276
910	2796	273
911	2799	270
912	2802	267
913	2806	264
914	2808	260
915	2811	257
916	2814	254
917	2817	251
918	2820	248
919	2823	245
920	2826	242
921	2828	239
922	2831	236
923	2834	233
924	2837	230
925	2840	226
926	2843	223
927	2846	220
928	2849	217
929	2851	214
930	2854	211
931	2857	208
932	2860	205
933	2863	202
934	2866	199
935	2869	196
936	2872	193
937	2875	190
938	2878	186
939	2881	183
940	2884	180
941	2887	177
942	2890	174
943	2892	171
944	2895	168
945	2898	165
946	2901	162
947	2904	159
948	2907	156
949	2910	153
950	2913	150
951	2915	147
952	2918	143
953	2921	140
954	2924	137
955	2927	134
956	2930	131
957	2933	128
958	2936	125
959	2939	122
960	2941	119
961	2944	116
962	2947	113
963	2950	110
964	2953	107
965	2956	104
966	2959	100
967	2961	97
968	2964	94
969	2967	91
970	2970	88
971	2973	85
972	2976	82
973	2979	79
974	2982	76
975	2984	73
976	2987	70
977	2990	67
978	2993	64
979	2996	61
980	2999	58
981	3002	55
982	3005	51
983	3008	48
984	3011	45
985	3014	42
986	3017	39
987	3019	36
988	3022	33
989	3025	30
990	3028	27
991	3031	24
992	3034	21
993	3037	18
994	3040	15
995	3043	12
996	3045	9
997	3048	6
998	3051	3
999	3054	0
