iter	Logloss
0	0.6685270891
1	0.6423224085
2	0.622873357
3	0.6027643441
4	0.5800449649
5	0.5562515711
6	0.5347330244
7	0.5181982011
8	0.5029565863
9	0.484398811
10	0.468021794
11	0.4515488841
12	0.4371170575
13	0.4209879598
14	0.4080631608
15	0.3956239089
16	0.384982321
17	0.3740322467
18	0.3615940227
19	0.3509571544
20	0.3410885246
21	0.3320234329
22	0.3241243267
23	0.3171927433
24	0.3091545309
25	0.2993999594
26	0.2902138395
27	0.2824705599
28	0.275519319
29	0.2696769687
30	0.2620225647
31	0.2562066482
32	0.2491394657
33	0.2414665548
34	0.2362749161
35	0.2317715565
36	0.2275693585
37	0.2219729817
38	0.2163828364
39	0.211007696
40	0.2048590172
41	0.2012551356
42	0.1966902694
43	0.1922847971
44	0.1875093224
45	0.1845398104
46	0.1805707642
47	0.1769406352
48	0.1729976138
49	0.1694880487
50	0.1673797164
51	0.1636611842
52	0.1600111778
53	0.1572013274
54	0.1539462317
55	0.1514190641
56	0.1492862174
57	0.1455188383
58	0.1430473595
59	0.1404192606
60	0.1384472961
61	0.1358792619
62	0.1344758375
63	0.1320228537
64	0.1302698789
65	0.1285694419
66	0.1270141579
67	0.1246445001
68	0.1226795165
69	0.1209092448
70	0.1187447883
71	0.1171634065
72	0.1151262307
73	0.1135187973
74	0.1121663938
75	0.1109112159
76	0.1089713516
77	0.1078757408
78	0.1066027667
79	0.105298005
80	0.1038387855
81	0.1026250861
82	0.1011090846
83	0.1000445661
84	0.09913861203
85	0.097817718
86	0.0968552263
87	0.09549459167
88	0.09427364649
89	0.09323050712
90	0.09205463504
91	0.0913273137
92	0.09028933533
93	0.08924375956
94	0.08843220488
95	0.08747798849
96	0.08681427412
97	0.08609648067
98	0.08513659659
99	0.08408737701
100	0.08316374376
101	0.08253559464
102	0.08174188982
103	0.08110215467
104	0.08042460117
105	0.07979574388
106	0.07919562873
107	0.07862409492
108	0.07803874993
109	0.07754106955
110	0.07681018786
111	0.07620552667
112	0.07551265502
113	0.07490496154
114	0.07406066322
115	0.07342577219
116	0.07278504599
117	0.07215300639
118	0.07177045836
119	0.07125798266
120	0.07070434268
121	0.07018625068
122	0.06975827159
123	0.06920007182
124	0.06887365712
125	0.06847556603
126	0.06793245161
127	0.06749521094
128	0.06710542175
129	0.06677523545
130	0.06625936786
131	0.06578674174
132	0.06528534643
133	0.06488720683
134	0.06441891163
135	0.0638997209
136	0.06341060595
137	0.0631897968
138	0.06288308139
139	0.06247382711
140	0.06205559017
141	0.0616174959
142	0.06120753638
143	0.06069565031
144	0.06039948431
145	0.06025867497
146	0.05986942881
147	0.05946363952
148	0.05912040252
149	0.05891155929
150	0.05853185817
151	0.05807414061
152	0.05770087569
153	0.05742702043
154	0.0570871576
155	0.05683909801
156	0.05657016832
157	0.05617482245
158	0.05589625341
159	0.05559743359
160	0.05546736012
161	0.05520738244
162	0.05491183316
163	0.05462495554
164	0.05431165334
165	0.05407935549
166	0.05375002462
167	0.05354942694
168	0.05325231021
169	0.0529402123
170	0.05262340117
171	0.05227908743
172	0.05203407245
173	0.05184558925
174	0.05156460199
175	0.05132320095
176	0.05111351559
177	0.05080955261
178	0.05057037294
179	0.05044619759
180	0.05026602602
181	0.05001505815
182	0.04980632418
183	0.04956538991
184	0.04933340953
185	0.04913986918
186	0.04890440356
187	0.04865570902
188	0.04844915217
189	0.04820811397
190	0.04797933268
191	0.04773121841
192	0.0475152702
193	0.0473299544
194	0.04712135416
195	0.04694250099
196	0.04670754594
197	0.04636725688
198	0.04610346608
199	0.04592917687
200	0.04571169002
201	0.04557833379
202	0.04538041875
203	0.04515790529
204	0.04499351444
205	0.04491002065
206	0.04469143376
207	0.04452533383
208	0.0443594566
209	0.04417480218
210	0.0439187617
211	0.04375769522
212	0.04363819021
213	0.04336550934
214	0.04316364008
215	0.0428901996
216	0.04263573434
217	0.04241138883
218	0.04218130703
219	0.04211098935
220	0.04192870871
221	0.04174319913
222	0.04152024549
223	0.04132723582
224	0.04122948452
225	0.04108587834
226	0.04089063235
227	0.04079945828
228	0.04061580933
229	0.04043470757
230	0.04020284651
231	0.03997305617
232	0.03986130369
233	0.03976184237
234	0.03966413475
235	0.03948389954
236	0.03930015178
237	0.03921558506
238	0.03906900382
239	0.03895951197
240	0.03880048924
241	0.03864675828
242	0.03851004809
243	0.03839750676
244	0.03822242352
245	0.03812680718
246	0.03800518768
247	0.03788075001
248	0.03769153771
249	0.03758520285
250	0.03742270831
251	0.03727861544
252	0.03717088842
253	0.03705477369
254	0.03692184199
255	0.03680800469
256	0.03670113397
257	0.03659425471
258	0.03648054472
259	0.0363677533
260	0.03626126106
261	0.03617972592
262	0.03603145202
263	0.03589229181
264	0.03574717634
265	0.03564557416
266	0.03545303402
267	0.03528390873
268	0.03520349266
269	0.03502464996
270	0.0349596621
271	0.03487448478
272	0.03471265596
273	0.03454446491
274	0.03440603851
275	0.03426633563
276	0.03415207371
277	0.03402298915
278	0.03387570273
279	0.03372298988
280	0.03362082855
281	0.03348778609
282	0.03336672508
283	0.03330079293
284	0.03316765064
285	0.03308492374
286	0.03296553008
287	0.03277075535
288	0.03267198892
289	0.03253644301
290	0.03245724543
291	0.03233621111
292	0.03227041843
293	0.0321538692
294	0.03210260399
295	0.03199351735
296	0.03187508412
297	0.03179229402
298	0.03169687006
299	0.03161763115
300	0.03149757715
301	0.03139564339
302	0.0313009466
303	0.03119628991
304	0.03112343194
305	0.03100285712
306	0.03092219014
307	0.03080535527
308	0.03068860892
309	0.03060863865
310	0.03046454686
311	0.03034243134
312	0.03025863133
313	0.03009460325
314	0.02996330449
315	0.02989277763
316	0.02976713511
317	0.02966641945
318	0.0295587186
319	0.02944096938
320	0.02934241344
321	0.02926763266
322	0.02916852262
323	0.02907670945
324	0.02900054286
325	0.02887831437
326	0.02877890607
327	0.02865942575
328	0.02855949046
329	0.02852121537
330	0.02841798919
331	0.02833670372
332	0.02826831942
333	0.02819390465
334	0.02812331377
335	0.02798507976
336	0.02786145942
337	0.0277433757
338	0.02768438119
339	0.02761685215
340	0.02750264468
341	0.02746146536
342	0.02739396719
343	0.02732358298
344	0.027287267
345	0.0272621902
346	0.02720458559
347	0.02713352602
348	0.02702418177
349	0.02694144134
350	0.02686435353
351	0.02675639556
352	0.02667905066
353	0.02661166868
354	0.0264757334
355	0.02636779919
356	0.02629697786
357	0.02623854294
358	0.0261669486
359	0.02610031155
360	0.02607972298
361	0.02595707422
362	0.02589913911
363	0.02582931294
364	0.02574343876
365	0.02562115464
366	0.02551713828
367	0.0254395849
368	0.02540567428
369	0.02531520034
370	0.02524593434
371	0.02515032037
372	0.02510537345
373	0.02505626787
374	0.02498430125
375	0.024902792
376	0.02478534816
377	0.0247131403
378	0.02467151282
379	0.02462553591
380	0.02458213654
381	0.02450268789
382	0.02443665695
383	0.02438810668
384	0.02433424879
385	0.02427879012
386	0.02421609929
387	0.02417114255
388	0.02407269152
389	0.02406147044
390	0.02399111592
391	0.02389485124
392	0.02381482177
393	0.02370434827
394	0.0236496408
395	0.02360450216
396	0.02351387176
397	0.02342739807
398	0.02335869295
399	0.02331553702
400	0.02323011364
